year,month,calendar_fond,downtime,eto,tr,to2000,to500,to1000,to4000,to_suppl_systems,overhaul_total,to6000,tr_suppl_systems,to12000,tr_middle,eo_code,level_1,eo_model_name,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2025,11,720,"65,8","19,8","40,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2025,12,744,"84,14","20,46","61,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,1,744,"62,480000000000004","20,46","40,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,2,672,"81,84","18,48","60,0","0,0","4,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,3,744,"89,82000000000001","20,46","40,0","0,0","0,0","0,0","0,0","10,0","0,0","0,0","10,0","14,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,4,720,"62,82","19,8","40,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,5,744,"84,48","20,46","60,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,6,720,"71,48","19,8","40,0","8,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,7,744,"82,48","20,46","60,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,8,744,"64,14","20,46","40,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,9,720,"97,16","19,8","60,0","0,0","4,0","0,0","13,0","0,0","0,0","0,0","10,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,10,744,"73,14","20,46","40,0","0,0","4,0","0,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2023,11,720,"81,82000000000001","19,8","59,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
