level_1,eo_code,month_year,eo_model_id,man_hours
first06,sl_730_2,5_2033,69,332.8318181818184
first06,sl_730_2,5_2034,69,715.5227272727269
first06,sl_730_2,6_2025,69,239.26818181818183
first06,sl_730_2,6_2026,69,177.6954545454546
first06,sl_730_2,6_2027,69,229.12272727272716
first06,sl_730_2,6_2028,69,460.65000000000003
first06,sl_730_2,6_2029,69,590.4136363636366
first06,sl_730_2,6_2030,69,443.9772727272729
first06,sl_730_2,6_2031,69,228.95000000000024
first06,sl_730_2,6_2032,69,434.0227272727276
first06,sl_730_2,6_2033,69,344.5136363636366
first06,sl_730_2,6_2034,69,370.50454545454505
first06,sl_730_2,7_2025,69,672.6590909090909
first06,sl_730_2,7_2026,69,269.21363636363645
first06,sl_730_2,7_2027,69,229.21363636363623
first06,sl_730_2,7_2028,69,132.23181818181823
first06,sl_730_2,7_2029,69,218.98636363636376
first06,sl_730_2,7_2030,69,330.53181818181844
first06,sl_730_2,7_2031,69,539.9318181818185
first06,sl_730_2,7_2032,69,657.6045454545458
first06,sl_730_2,7_2033,69,336.2954545454547
first06,sl_730_2,7_2034,69,379.5863636363632
first06,sl_730_2,8_2024,69,0.3
first06,sl_730_2,8_2025,69,101.95000000000002
first06,sl_730_2,8_2026,69,467.42272727272734
first06,sl_730_2,8_2027,69,561.4045454545453
first06,sl_730_2,8_2028,69,116.91363636363641
first06,sl_730_2,8_2029,69,156.06818181818196
first06,sl_730_2,8_2030,69,291.73181818181837
first06,sl_730_2,8_2031,69,309.8136363636366
first06,sl_730_2,8_2032,69,269.48636363636393
first06,sl_730_2,8_2033,69,663.9772727272729
first06,sl_730_2,8_2034,69,625.3681818181814
first06,sl_730_2,9_2024,69,78.66818181818181
first06,sl_730_2,9_2025,69,424.9454545454546
first06,sl_730_2,9_2026,69,165.01363636363644
first06,sl_730_2,9_2027,69,242.59545454545434
first06,sl_730_2,9_2028,69,547.6863636363637
first06,sl_730_2,9_2029,69,634.6500000000001
first06,sl_730_2,9_2030,69,817.9136363636366
first06,sl_730_2,9_2031,69,369.4954545454548
first06,sl_730_2,9_2032,69,374.26818181818214
first06,sl_730_2,9_2033,69,317.05909090909097
